LineId,EventId,Content,EventTemplate
1,E1,Jun  9 06:06:20 combo syslogd 1.4.1: restart.,Jun  9 06:06:20 combo syslogd 1.4.1: restart.
2,E2,Jun  9 06:06:20 combo syslog: syslogd startup succeeded,
3,E3,Jun  9 06:06:20 combo syslog: klogd startup succeeded,Jun  9 06:06:20 combo syslog: syslogd startup succeeded
4,E2,"Jun  9 06:06:20 combo kernel: klogd 1.4.1, log source = /proc/kmsg started.",
5,E4,Jun  9 06:06:20 combo kernel: Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004,Jun  9 06:06:20 combo syslog: klogd startup succeeded
6,E2,Jun  9 06:06:20 combo kernel: BIOS-provided physical RAM map:,
7,E5,Jun  9 06:06:20 combo kernel:  BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),"Jun  9 06:06:20 combo kernel: klogd 1.4.1, log source = /proc/kmsg started."
8,E2,Jun  9 06:06:20 combo kernel:  BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),
9,E6,Jun  9 06:06:20 combo kernel:  BIOS-e820: 0000000000100000 - 0000000007eae000 (usable),Jun  9 06:06:20 combo kernel: Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004
10,E2,Jun  9 06:06:20 combo kernel:  BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved),
11,E7,Jun  9 06:06:20 combo kernel:  BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved),Jun  9 06:06:20 combo kernel: BIOS-provided physical RAM map:
12,E2,Jun  9 06:06:20 combo kernel: 126MB LOWMEM available.,
13,E8,Jun  9 06:06:20 combo kernel: zapping low mappings.,Jun  9 06:06:20 combo kernel:  BIOS-e820: 0000000000000000 - 00000000000a0000 (usable)
14,E2,Jun  9 06:06:20 combo kernel: On node 0 totalpages: 32430,
15,E9,"Jun  9 06:06:20 combo kernel:   DMA zone: 4096 pages, LIFO batch:1",Jun  9 06:06:20 combo kernel:  BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved)
16,E2,"Jun  9 06:06:20 combo kernel:   Normal zone: 28334 pages, LIFO batch:6",
17,E10,"Jun  9 06:06:20 combo kernel:   HighMem zone: 0 pages, LIFO batch:1",Jun  9 06:06:20 combo kernel:  BIOS-e820: 0000000000100000 - 0000000007eae000 (usable)
18,E2,Jun  9 06:06:20 combo kernel: DMI 2.3 present.,
19,E11,Jun  9 06:06:20 combo kernel: ACPI disabled because your bios is from 2000 and too old,Jun  9 06:06:20 combo kernel:  BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved)
20,E2,Jun  9 06:06:20 combo kernel: You can enable it with acpi=force,
21,E12,Jun  9 06:06:20 combo kernel: Built 1 zonelists,Jun  9 06:06:20 combo kernel:  BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved)
22,E2,Jun  9 06:06:20 combo irqbalance: irqbalance startup succeeded,
23,E13,Jun  9 06:06:20 combo kernel: Kernel command line: ro root=LABEL=/ rhgb quiet,Jun  9 06:06:20 combo kernel: 126MB LOWMEM available.
24,E2,Jun  9 06:06:20 combo kernel: mapped 4G/4G trampoline to ffff3000.,
25,E14,Jun  9 06:06:20 combo kernel: Initializing CPU#0,Jun  9 06:06:20 combo kernel: zapping low mappings.
26,E2,Jun  9 06:06:20 combo portmap: portmap startup succeeded,
27,E15,"Jun  9 06:06:20 combo kernel: CPU 0 irqstacks, hard=02345000 soft=02344000",Jun  9 06:06:20 combo kernel: On node 0 totalpages: 32430
28,E2,Jun  9 06:06:20 combo kernel: PID hash table entries: 512 (order 9: 4096 bytes),
29,E16,Jun  9 06:06:20 combo kernel: Detected 731.214 MHz processor.,"Jun  9 06:06:20 combo kernel:   DMA zone: 4096 pages, LIFO batch:1"
30,E2,Jun  9 06:06:20 combo kernel: Using tsc for high-res timesource,
31,E17,Jun  9 06:06:20 combo kernel: Console: colour VGA+ 80x25,"Jun  9 06:06:20 combo kernel:   Normal zone: 28334 pages, LIFO batch:6"
32,E2,"Jun  9 06:06:20 combo kernel: Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",
33,E18,Jun  9 06:06:20 combo kernel: Calibrating delay loop... 1441.79 BogoMIPS,"Jun  9 06:06:20 combo kernel:   HighMem zone: 0 pages, LIFO batch:1"
34,E2,Jun  9 06:06:20 combo kernel: Security Scaffold v1.0.0 initialized,
35,E19,Jun  9 06:06:20 combo kernel: SELinux:  Initializing.,Jun  9 06:06:20 combo kernel: DMI 2.3 present.
36,E2,Jun  9 06:06:20 combo kernel: SELinux:  Starting in permissive mode,
37,E20,"Jun  9 06:06:20 combo kernel: There is already a security framework initialized, register_security failed.",Jun  9 06:06:20 combo kernel: ACPI disabled because your bios is from 2000 and too old
38,E2,Jun  9 06:06:20 combo kernel: Failure registering capabilities with the kernel,
39,E21,Jun  9 06:06:20 combo kernel: selinux_register_security:  Registering secondary module capability,Jun  9 06:06:20 combo kernel: You can enable it with acpi=force
40,E2,Jun  9 06:06:20 combo kernel: Capability LSM initialized,
41,E22,"Jun  9 06:06:20 combo kernel: Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)",Jun  9 06:06:20 combo kernel: Built 1 zonelists
