EventId,EventTemplate
E1,Jun  9 06:06:20 combo syslogd 1.4.1: restart.
E2,
E3,Jun  9 06:06:20 combo syslog: syslogd startup succeeded
E4,Jun  9 06:06:20 combo syslog: klogd startup succeeded
E5,"Jun  9 06:06:20 combo kernel: klogd 1.4.1, log source = /proc/kmsg started."
E6,Jun  9 06:06:20 combo kernel: Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004
E7,Jun  9 06:06:20 combo kernel: BIOS-provided physical RAM map:
E8,Jun  9 06:06:20 combo kernel:  BIOS-e820: 0000000000000000 - 00000000000a0000 (usable)
E9,Jun  9 06:06:20 combo kernel:  BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved)
E10,Jun  9 06:06:20 combo kernel:  BIOS-e820: 0000000000100000 - 0000000007eae000 (usable)
E11,Jun  9 06:06:20 combo kernel:  BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved)
E12,Jun  9 06:06:20 combo kernel:  BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved)
E13,Jun  9 06:06:20 combo kernel: 126MB LOWMEM available.
E14,Jun  9 06:06:20 combo kernel: zapping low mappings.
E15,Jun  9 06:06:20 combo kernel: On node 0 totalpages: 32430
E16,"Jun  9 06:06:20 combo kernel:   DMA zone: 4096 pages, LIFO batch:1"
E17,"Jun  9 06:06:20 combo kernel:   Normal zone: 28334 pages, LIFO batch:6"
E18,"Jun  9 06:06:20 combo kernel:   HighMem zone: 0 pages, LIFO batch:1"
E19,Jun  9 06:06:20 combo kernel: DMI 2.3 present.
E20,Jun  9 06:06:20 combo kernel: ACPI disabled because your bios is from 2000 and too old
E21,Jun  9 06:06:20 combo kernel: You can enable it with acpi=force
E22,Jun  9 06:06:20 combo kernel: Built 1 zonelists
E23,Jun  9 06:06:20 combo irqbalance: irqbalance startup succeeded
E24,Jun  9 06:06:20 combo kernel: Kernel command line: ro root=LABEL=/ rhgb quiet
E25,Jun  9 06:06:20 combo kernel: mapped 4G/4G trampoline to ffff3000.
E26,Jun  9 06:06:20 combo kernel: Initializing CPU#0
E27,Jun  9 06:06:20 combo portmap: portmap startup succeeded
E28,"Jun  9 06:06:20 combo kernel: CPU 0 irqstacks, hard=02345000 soft=02344000"
E29,Jun  9 06:06:20 combo kernel: PID hash table entries: 512 (order 9: 4096 bytes)
E30,Jun  9 06:06:20 combo kernel: Detected 731.214 MHz processor.
E31,Jun  9 06:06:20 combo kernel: Using tsc for high-res timesource
E32,Jun  9 06:06:20 combo kernel: Console: colour VGA+ 80x25
E33,"Jun  9 06:06:20 combo kernel: Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)"
E34,Jun  9 06:06:20 combo kernel: Calibrating delay loop... 1441.79 BogoMIPS
E35,Jun  9 06:06:20 combo kernel: Security Scaffold v1.0.0 initialized
E36,Jun  9 06:06:20 combo kernel: SELinux:  Initializing.
E37,Jun  9 06:06:20 combo kernel: SELinux:  Starting in permissive mode
E38,"Jun  9 06:06:20 combo kernel: There is already a security framework initialized, register_security failed."
E39,Jun  9 06:06:20 combo kernel: Failure registering capabilities with the kernel
E40,Jun  9 06:06:20 combo kernel: selinux_register_security:  Registering secondary module capability
E41,Jun  9 06:06:20 combo kernel: Capability LSM initialized
E42,"Jun  9 06:06:20 combo kernel: Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)"
E43,"Jun  9 06:06:20 combo kernel: Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)"
E44,"Jun  9 06:06:20 combo kernel: Mount-cache hash table entries: 512 (order: 0, 4096 bytes)"
E45,Jun  9 06:06:20 combo rpc.statd[{log_level}]: Version 1.0.6 Starting
E46,Jun  9 06:06:20 combo nfslock: rpc.statd startup succeeded
E47,"Jun  9 06:06:20 combo kernel: CPU: L1 I cache: 16K, L1 D cache: 16K"
E48,Jun  9 06:06:21 combo kernel: CPU: L2 cache: 256K
E49,Jun  9 06:06:21 combo kernel: Intel machine check architecture supported.
E50,Jun  9 06:06:21 combo kernel: CPU: Intel Pentium III (Coppermine) stepping 06
E51,Jun  9 06:06:21 combo kernel: Enabling fast FPU save and restore... done.
E52,Jun  9 06:06:21 combo kernel: Enabling unmasked SIMD FPU exception support... done.
E53,Jun  9 06:06:21 combo kernel: Checking 'hlt' instruction... OK.
E54,Jun  9 06:06:21 combo kernel: POSIX conformance testing by UNIFIX
E55,Jun  9 06:06:21 combo kernel: NET: Registered protocol family 16
